name;price;url;page
Диван модульный Этен 7 Vertical Jeans;82 980;https://www.divan.ru/product/modulnyj-divan-eten-7-vertical-jeans;5
Диван модульный Сэндж 1 Textile Ocean;76 970;https://www.divan.ru/product/modulnyj-divan-sendj-1-textile-ocean;5
Кушетка Оренте Soft Sky;47 990;https://www.divan.ru/product/kushetka-orente-soft-sky;5
Кресло Волси Velvet Red;22 990;https://www.divan.ru/product/kreslo-volsi-velvet-red;5
Диван угловой Вильен мини Velvet Eclipse;62 990;https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-eclipse;5
Диван прямой Роттердам Velvet Blue;27 990;https://www.divan.ru/product/divan-rotterdam-velvet-blue;5
Диван прямой Пайпел Bucle Beige;58 990;https://www.divan.ru/product/divan-pajpel-bucle-beige;5
Диван угловой Шера Velvet Terra;109 990;https://www.divan.ru/product/divan-uglovoj-shera-velvet-terra;5
Диван модульный Сэндж 1 Textile Sky;76 970;https://www.divan.ru/product/modulnyj-divan-sendj-1-textile-sky;5
Кресло Кальдера Bucle Marble;36 990;https://www.divan.ru/product/kreslo-kaldera-bucle-marble;5
Диван прямой Самми Velvet Grey;34 990;https://www.divan.ru/product/divan-sammi-velvet-grey;5
Диван угловой Аронт Мини Velvet Smoke;59 990;https://www.divan.ru/product/divan-uglovoj-aront-mini-velvet-smoke;5
Диван прямой Массе Bucle White;69 990;https://www.divan.ru/product/divan-masse-bucle-white;5
Кресло Волси Velvet Olive;22 990;https://www.divan.ru/product/kreslo-volsi-velvet-olive;5
Диван прямой Пайпел-3 Bucle Yellow;63 990;https://www.divan.ru/product/divan-pajpel-3-bucle-yellow;5
Пуф Роттердам Мини Velvet Red;11 990;https://www.divan.ru/product/puf-rotterdam-mini-velvet-red;5
Диван прямой Тут Рядом Дом Сине-бежевый;65 990;https://www.divan.ru/product/divan-tut-ryadom-dom-sine-bejevyj;5
Диван модульный Этен 5 Vertical Silver;77 960;https://www.divan.ru/product/modulnyj-divan-eten-5-vertical-silver;5
Диван угловой Вильен мини Velvet Grey;62 990;https://www.divan.ru/product/divan-uglovoj-vilen-mini-velvet-grey;5
Диван прямой Кела Мини Velvet Wet Sand;42 990;https://www.divan.ru/product/divan-kela-mini-velvet-wet-sand;5
Кресло Лонди Mima Pink;64 990;https://www.divan.ru/product/kreslo-londi-mima-pink;5
Банкетка Вайли Bucle Smoky;12 990;https://www.divan.ru/product/banketka-vajli-bucle-smoky;5
Диван прямой Пайпел-3 Bucle Beige;63 990;https://www.divan.ru/product/divan-pajpel-3-bucle-beige;5
Диван модульный Этен 2 Vertical Mix;149 940;https://www.divan.ru/product/modulnyj-divan-eten-2-vertical-mix-old-21-06-2022-milk;5
Диван прямой Сорен Textile Grafit;69 990;https://www.divan.ru/product/divan-soren-textile-grafit;5
Кресло Волси Velvet Milk;22 990;https://www.divan.ru/product/kreslo-volsi-velvet-milk;5
Диван угловой Нордика мини Velvet Smoke;59 990;https://www.divan.ru/product/divan-uglovoj-nordika-mini-velvet-smoke;5
Диван модульный Этен 2 Vertical Silver;149 940;https://www.divan.ru/product/modulnyj-divan-eten-2-vertical-silver;5
Диван прямой Леймарк мини Barhat Blue;48 990;https://www.divan.ru/product/divan-lejmark-mini-barhat-blue;5
Диван угловой Аллаум Linia Stone;54 990;https://www.divan.ru/product/divan-uglovoj-allaum-linia-stone;5
Диван прямой Спейс-2 Velvet Stone;89 990;https://www.divan.ru/product/divan-spejs-2-velvet-stone;5
Диван прямой Спейс-2 Velvet Grey;89 990;https://www.divan.ru/product/divan-spejs-2-velvet-grey;5
Кресло Коренс Happy Emerald;23 990;https://www.divan.ru/product/kreslo-korens-happy-emerald;5
Диван прямой Онте Bucle Eclipce;98 990;https://www.divan.ru/product/divan-onte-bucle-eclipce;5
Диван модульный Риббл-3 Bucle Forest;158 970;https://www.divan.ru/product/modulnyj-divan-ribbl-3-bucle-forest;6
Диван модульный Этен 4 Vertical Silver;203 920;https://www.divan.ru/product/modulnyj-divan-eten-4-vertical-silver;6
Диван прямой Коренс Bucle White;38 990;https://www.divan.ru/product/divan-korens-bucle-white;6
Диван прямой Пайпел Bucle Forest;58 990;https://www.divan.ru/product/divan-pajpel-bucle-forest;6
Диван угловой Эдвин-2 Velvet Smoke;109 990;https://www.divan.ru/product/divan-uglovoj-edvin-2-velvet-smoke;6
Диван прямой Эби Velvet Olive;66 990;https://www.divan.ru/product/divan-ebi-velvet-olive;6
